Level,Description,Number,Onset_Date,Onset_Time,Offset_Date,Offset_Time,Duration_Date,Duration_Time,Maternal Affect,Maternal Problem Data,ClassXYZ,Infant Affect,Infant Problem Data,Infant Problem Code,Transcript
1,3011m3freeplayhbf + 3011m3freeplaykrs,1,0d,3096.583,0d,3492.292,0d,395.750,,,,,,,
2,3011m3freeplayhbf + 3011m3freeplaykrs,2,0d,3096.583,0d,3492.292,0d,395.750,,,,,,,
3,,3,0d,3096.583,0d,3148.875,0d,52.333,,XX,,,,,
3,,4,0d,3148.917,0d,3165.375,0d,16.500,2,,,,,,
3,,5,0d,3149.000,0d,3154.458,0d,5.500,,,,,U,,
3,,6,0d,3154.500,0d,3161.500,0d,7.042,,,,N,,,
3,,7,0d,3161.542,0d,3164.625,0d,3.125,,,,A,,,
3,,8,0d,3164.667,0d,3171.458,0d,6.833,,,,N,,,
3,,9,0d,3165.417,0d,3168.083,0d,2.708,2,,,,,,
3,,10,0d,3168.125,0d,3170.083,0d,2.000,1,,,,,,
3,,11,0d,3170.125,0d,3251.042,0d,80.958,2,,,,,,
3,,12,0d,3171.500,0d,3194.125,0d,22.667,,,,,U,,
3,,13,0d,3194.167,0d,3196.167,0d,2.042,,,,W,,,
3,,14,0d,3196.208,0d,3235.375,0d,39.208,,,,N,,,
3,,15,0d,3235.417,0d,3240.542,0d,5.167,,,,,U,,
3,,16,0d,3240.583,0d,3253.000,0d,12.458,,,,W,,,
3,,17,0d,3251.083,0d,3256.542,0d,5.500,1,,,,,,
3,,18,0d,3253.042,0d,3262.000,0d,9.000,,,,A,,,
3,,19,0d,3256.583,0d,3259.417,0d,2.875,2,,,,,,
3,,20,0d,3259.458,0d,3260.750,0d,1.333,1,,,,,,
3,,21,0d,3260.792,0d,3262.208,0d,1.458,2,,,,,,
3,,22,0d,3262.042,0d,3276.917,0d,14.917,,,,N,,,
3,,23,0d,3262.250,0d,3263.625,0d,1.417,1,,,,,,
3,,24,0d,3263.667,0d,3264.667,0d,1.042,2,,,,,,
3,,25,0d,3264.708,0d,3272.792,0d,8.125,1,,,,,,
3,,26,0d,3272.833,0d,3274.167,0d,1.375,2,,,,,,
3,,27,0d,3274.208,0d,3275.333,0d,1.167,1,,,,,,
3,,28,0d,3275.375,0d,3323.042,0d,47.708,2,,,,,,
3,,29,0d,3276.958,0d,3285.583,0d,8.667,,,,,U,,
3,,30,0d,3285.625,0d,3288.875,0d,3.292,,,,W,,,
3,,31,0d,3288.917,0d,3293.625,0d,4.750,,,,N,,,
3,,32,0d,3293.667,0d,3371.500,0d,77.875,,,,,U,,
3,,33,0d,3323.083,0d,3324.250,0d,1.208,4,,,,,,
3,,34,0d,3324.292,0d,3328.125,0d,3.875,2,,,,,,
3,,35,0d,3329.000,0d,3330.208,0d,1.250,1,,,,,,
3,,36,0d,3330.250,0d,3332.750,0d,2.542,2,,,,,,
3,,37,0d,3332.792,0d,3333.833,0d,1.083,1,,,,,,
3,,38,0d,3333.875,0d,3351.667,0d,17.833,2,,,,,,
3,,39,0d,3351.708,0d,3356.042,0d,4.375,3,,,,,,
3,,40,0d,3356.083,0d,3375.333,0d,19.292,2,,,,,,
3,,41,0d,3371.542,0d,3372.708,0d,1.208,,,,N,,,
3,,42,0d,3372.750,0d,3388.625,0d,15.917,,,,W,,,
3,,43,0d,3375.375,0d,3379.375,0d,4.042,1,,,,,,
3,,44,0d,3379.417,0d,3388.083,0d,8.708,2,,,,,,
3,,45,0d,3388.125,0d,3393.083,0d,5.000,1,,,,,,
3,,46,0d,3388.667,0d,3427.333,0d,38.708,,,,,U,,
3,,47,0d,3393.125,0d,3396.250,0d,3.167,2,,,,,,
3,,48,0d,3396.292,0d,3397.042,0d,0.792,1,,,,,,
3,,49,0d,3397.083,0d,3400.667,0d,3.625,2,,,,,,
3,,50,0d,3400.708,0d,3402.583,0d,1.917,1,,,,,,
3,,51,0d,3402.625,0d,3431.417,0d,28.833,2,,,,,,
3,,52,0d,3427.375,0d,3452.375,0d,25.042,,,,N,,,
3,,53,0d,3431.458,0d,3436.958,0d,5.542,2,,,,,,
3,,54,0d,3437.000,0d,3438.542,0d,1.583,1,,,,,,
3,,55,0d,3438.583,0d,3442.208,0d,3.667,2,,,,,,
3,,56,0d,3442.250,0d,3448.917,0d,6.708,1,,,,,,
3,,57,0d,3448.958,0d,3450.292,0d,1.375,2,,,,,,
3,,58,0d,3450.333,0d,3452.792,0d,2.500,1,,,,,,
3,,59,0d,3452.417,0d,3464.125,0d,11.750,,,,W,,,
3,,60,0d,3452.833,0d,3483.125,0d,30.333,2,,,,,,
3,,61,0d,3464.167,0d,3467.042,0d,2.917,,,,N,,,
3,,62,0d,3467.083,0d,3468.083,0d,1.042,,,,W,,,
3,,63,0d,3468.125,0d,3471.125,0d,3.042,,,,,U,,
3,,64,0d,3471.167,0d,3489.000,0d,17.875,,,,W,,,
3,,65,0d,3483.167,0d,3489.333,0d,6.208,1,,,,,,
3,,66,0d,3489.375,0d,3492.292,0d,2.958,,XX,,,,,
