Level,Description,Number,Onset_Time,Offset_Time,Duration_Time,Maternal Affect,Maternal Problem Data,Infant Affect,Infant Problem Data
1,3367m3freeplayJR + 3367m3freeplaysab,7947,2325,2645.4,320.4,,,,
2,3367m3freeplayJR + 3367m3freeplaysab,7948,2325,2645.4,320.4,,,,
3,,7949,2325,2325.28,0.28,-1,,,
3,,7950,2325.32,2334.92,9.6,1,,,
3,,7951,2335,2339.48,4.48,0,,,
3,,7952,2339.52,2353.8,14.28,1,,,
3,,7953,2353.84,2355.76,1.92,2,,,
3,,7954,2355.8,2372.88,17.08,1,,,
3,,7955,2372.92,2375.8,2.88,0,,,
3,,7956,2375.84,2389.92,14.08,1,,,
3,,7957,2390,2397.64,7.64,0,,,
3,,7958,2397.68,2400.56,2.88,-1,,,
3,,7959,2400.6,2402.16,1.56,1,,,
3,,7960,2402.2,2407.48,5.28,0,,,
3,,7961,2407.52,2413.32,5.8,1,,,
3,,7962,2413.36,2421.68,8.32,0,,,
3,,7963,2421.72,2423.4,1.68,1,,,
3,,7964,2423.44,2434.16,10.72,0,,,
3,,7965,2434.2,2448.28,14.08,1,,,
3,,7966,2448.32,2455.6,7.28,0,,,
3,,7967,2455.64,2483.76,28.12,1,,,
3,,7968,2483.8,2488.88,5.08,0,,,
3,,7969,2488.92,2492.32,3.4,1,,,
3,,7970,2492.36,2495.28,2.92,0,,,
3,,7971,2495.32,2505.76,10.44,1,,,
3,,7972,2505.8,2508.64,2.84,0,,,
3,,7973,2508.68,2521.36,12.68,1,,,
3,,7974,2521.4,2522.32,0.92,0,,,
3,,7975,2522.36,2523.56,1.2,-1,,,
3,,7976,2523.6,2525,1.4,0,,,
3,,7977,2525.04,2536.52,11.48,1,,,
3,,7978,2536.56,2538.64,2.08,0,,,
3,,7979,2538.68,2540.48,1.8,1,,,
3,,7980,2540.52,2544.48,3.96,0,,,
3,,7981,2544.52,2545.2,0.68,2,,,
3,,7982,2545.24,2567.6,22.36,1,,,
3,,7983,2567.64,2573.28,5.64,-1,,,
3,,7984,2573.32,2577,3.68,1,,,
3,,7985,2577.04,2581.6,4.56,-1,,,
3,,7986,2581.64,2582.44,0.8,0,,,
3,,7987,2582.48,2600.44,17.96,1,,,
3,,7988,2600.48,2601.28,0.8,0,,,
3,,7989,2601.32,2602.12,0.8,1,,,
3,,7990,2602.16,2613.72,11.56,0,,,
3,,7991,2613.76,2625.04,11.28,1,,,
3,,7992,2625.08,2628.88,3.8,0,,,
3,,7993,2628.92,2644.24,15.32,1,,,
3,,7994,2644.28,2645.4,1.12,-1,,,
3,,7995,2325,2354.28,29.28,,,W,
3,,7996,2354.32,2357.44,3.12,,,N,
3,,7997,2357.48,2374.12,16.64,,,W,
3,,7998,2374.16,2384.12,9.96,,,,U
3,,7999,2384.16,2386.2,2.04,,,N,
3,,8000,2386.24,2400.64,14.4,,,W,
3,,8001,2400.68,2410.76,10.08,,,N,
3,,8002,2410.8,2438.4,27.6,,,,U
3,,8003,2438.44,2443.4,4.96,,,W,
3,,8004,2443.44,2445.56,2.12,,,N,
3,,8005,2445.6,2448.28,2.68,,,W,
3,,8006,2448.32,2457.88,9.56,,,,U
3,,8007,2457.92,2463.6,5.68,,,N,
3,,8008,2463.64,2468.24,4.6,,,,U
3,,8009,2468.28,2476.16,7.88,,,N,
3,,8010,2476.2,2507.68,31.48,,,W,
3,,8011,2507.72,2513.28,5.56,,,N,
3,,8012,2513.32,2519.88,6.56,,,,U
3,,8013,2519.92,2537.68,17.76,,,W,
3,,8014,2537.72,2540.24,2.52,,,N,
3,,8015,2540.28,2550.52,10.24,,,W,
3,,8016,2550.56,2565.48,14.92,,,N,
3,,8017,2565.52,2578.88,13.36,,,W,
3,,8018,2578.92,2586.4,7.48,,,,U
3,,8019,2586.44,2600.4,13.96,,,W,
3,,8020,2600.44,2609.12,8.68,,XX,,U
3,,8021,2609.16,2633,23.84,,,W,
