Level,Description,Number,Onset_Time,Offset_Time,Duration_Time,Maternal Affect,Maternal Problem Data,Infant Problem Data,Infant Affect
1,3414m3freeplayajs + 3414m3freeplayatp,9263,2921,3224,303,,,,
2,3414m3freeplayajs + 3414m3freeplayatp,9264,2921,3224,303,,,,
3,,9265,3222.6,3224,1.4,,,,
3,,9266,2928.76,2957.64,28.88,,,,
3,,9267,2959,2959.12,0.12,,,,
3,,9268,2965,2966.48,1.48,,,,
3,,9269,2985.12,2985.24,0.12,,,,
3,,9270,2985.28,2986.6,1.32,,,,
3,,9271,2921,2959.12,38.12,1,,,
3,,9272,2959.16,2964.92,5.76,0,,,
3,,9273,2965,2985.24,20.24,1,,,
3,,9274,2985.28,2986.88,1.6,2,,,
3,,9275,2986.92,3032.24,45.32,1,,,
3,,9276,3032.28,3038.28,6,0,,,
3,,9277,3038.32,3043.16,4.84,1,,,
3,,9278,3043.2,3045.52,2.32,0,,,
3,,9279,3045.56,3109.48,63.92,1,,,
3,,9280,3109.52,3112.04,2.52,0,,,
3,,9281,3112.08,3145.68,33.6,1,,,
3,,9282,3145.72,3152.48,6.76,0,,,
3,,9283,3152.52,3163.64,11.12,1,,,
3,,9284,3163.68,3165.4,1.72,0,,,
3,,9285,3165.44,3222.32,56.88,1,,,
3,,9286,3222.36,3224,1.64,,XX,,
3,,9287,2921,2922.68,1.68,,,,N
3,,9288,2922.72,2926,3.28,,,,W
3,,9289,2926.04,2928.72,2.68,,,,N
3,,9290,2928.76,2957.64,28.88,,,,A
3,,9291,2957.68,2958.92,1.24,,,,N
3,,9292,2959,2966.48,7.48,,,,A
3,,9293,2966.52,2979.76,13.24,,,,W
3,,9294,2979.8,2985.08,5.28,,,,N
3,,9295,2985.12,2986.6,1.48,,,,A
3,,9296,2986.64,2999.12,12.48,,,,W
3,,9297,2999.16,3003.4,4.24,,,,N
3,,9298,3003.44,3009.2,5.76,,,,W
3,,9299,3009.24,3011.36,2.12,,,,N
3,,9300,3011.4,3023.2,11.8,,,,W
3,,9301,3023.24,3027.88,4.64,,,,N
3,,9302,3027.92,3222.56,194.64,,,,W
3,,9303,3222.6,3224,1.4,,,U,
